method signature	Jimple statement	suspicious score	ranking	source line	ef	ep	nf	failing tests
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack7 = l3 - 48	0.6101702158	3.0	346	11	2	14	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack8 = l1 * 10	0.6101702158	3.0	346	11	2	14	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)> ::: 7")]	0.6101702158	3.0	341	11	2	14	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = $stack8 + $stack7	0.6101702158	3.0	346	11	2	14	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = l2 + 1	0.6101702158	3.0	341	11	2	14	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= return l2]	0.6000000000	7.5	184	9	0	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l2 = 1	0.6000000000	7.5	183	9	0	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	goto [?= $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)]	0.6000000000	7.5	206	9	0	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l4 = l4 + 1	0.6000000000	7.5	205	9	0	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	return l1	0.5820855001	10.0	344	12	5	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack4 = virtualinvoke l0.<java.lang.String: int length()>()	0.5505977613	15.0	337	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack5 = virtualinvoke l0.<java.lang.String: int length()>()	0.5505977613	15.0	341	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if $stack4 >= 1 goto l1 = 0	0.5505977613	15.0	337	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l0 == null goto return 0	0.5505977613	15.0	337	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l2 >= $stack5 goto return l1	0.5505977613	15.0	341	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l3 < 48 goto return l1	0.5505977613	15.0	343	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = 0	0.5505977613	15.0	340	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = 0	0.5505977613	15.0	341	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l3 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l2)	0.5505977613	15.0	342	12	7	13	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])> ::: 6")]	0.5196152423	30.0	181	9	3	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	if l0 != l6 goto l5 = l5 + 1	0.5196152423	30.0	182	9	3	16	test167;test187;test312;test333;test337;test355;test423;test480;test_ext_fault_L205
